"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL1221483";"";"None";"486.93";"1";"5.00";"PPQ-214";"Cn1c(=O)c2c(-c3ccccc3F)n3c(c2n(C)c1=O)C(c1cccc(Cl)c1)Nc1ccccc1-3";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"11.50";"0.22";"0.60";"9.19";"0";"CHEMBL1227950";"Inhibition of human CFTR expressed in rat FRT cells coexpressing halide indicator YFP-H148Q assessed as inhibition of halide influx preincubated for 15 mins by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221227";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";""
"CHEMBL4085942";"";"None";"357.37";"0";"4.02";"1e";"O=c1c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc2n1Cc1ccccc1";"EC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"16.79";"0.30";"1.98";"7.69";"0";"CHEMBL4009583";"Activation of human CFTR expressed in FRT cells co-expressing YFP H148Q mutant assessed as increase in forskolin-stimulated iodide influx measured after 10 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007437";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";""
"CHEMBL75680";"ALOISINE A";"None";"267.33";"0";"3.67";"K00059, Aloisine";"CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12";"EC50";"'='";"111.0";"nM";"6.96";"";"";"UO_0000065";"26.02";"0.47";"3.28";"11.25";"0";"CHEMBL939223";"Activity at human wild type CFTR expressed in F508del-CF1 cells assessed as forskolin stimulated iodide flux";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CF1";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145498";"1";"Scientific Literature";"Proc Natl Acad Sci U S A";"2007";"None";"";""
"CHEMBL4176184";"";"None";"418.95";"1";"6.16";"VRT-768";"O=C(Nc1ncc(Cc2ccccc2Cl)s1)C(c1ccccc1)c1ccccc1";"EC50";"'='";"16000.0";"nM";"4.80";"";"";"UO_0000065";"11.45";"0.23";"-1.36";"11.42";"0";"CHEMBL4146142";"Corrector activity at CFTR F508-del mutant (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4145449";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";"";""
"CHEMBL1222337";"";"None";"464.53";"0";"4.22";"PPQ-204";"COc1cccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)c1";"IC50";"'='";"1700.0";"nM";"5.77";"";"";"UO_0000065";"12.42";"0.23";"1.55";"8.22";"0";"CHEMBL1227950";"Inhibition of human CFTR expressed in rat FRT cells coexpressing halide indicator YFP-H148Q assessed as inhibition of halide influx preincubated for 15 mins by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221227";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";""
"CHEMBL1221533";"";"None";"466.52";"0";"4.66";"PPQ-219";"Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2NC3c2cccc(F)c2)c1";"IC50";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"10.93";"0.20";"0.44";"8.36";"0";"CHEMBL1227950";"Inhibition of human CFTR expressed in rat FRT cells coexpressing halide indicator YFP-H148Q assessed as inhibition of halide influx preincubated for 15 mins by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221227";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";""
"CHEMBL3746059";"";"None";"428.54";"0";"2.80";"22";"NC(=O)C1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccccc2)CC3)CC1";"EC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"13.66";"0.25";"3.05";"6.63";"1";"CHEMBL3748920";"Corrector activity at human CFTR F508 deletion mutant expressed in FRT cells incubated for 25 mins with forskolin by YFP-based fluorescence analysis relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3745695";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";""
"CHEMBL3745838";"";"None";"477.01";"0";"3.86";"43";"CC(=O)NC1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccc(Cl)cc2)CC3)CC1";"EC50";"'='";"1900.0";"nM";"5.72";"";"";"UO_0000065";"11.99";"0.23";"1.86";"7.71";"0";"CHEMBL3748921";"Corrector activity at human CFTR F508 deletion mutant expressed in human A549 cells incubated for 25 mins by YFP-based fluorescence analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3745695";"1";"Scientific Literature";"J Med Chem";"2015";"CHEMBL3307651";"";""
"CHEMBL3597884";"";"None";"305.45";"0";"4.73";"9f";"CSc1cccc(Nc2nc(-c3nccs3)cs2)c1";"EC50";"'='";"9500.0";"nM";"5.02";"";"";"UO_0000065";"16.44";"0.36";"0.29";"13.28";"0";"CHEMBL3598551";"Potentiator activity at CFTR F508del mutant (unknown origin) expressed in human CFBE41o cells assessed as increase in iodine influx measured after 30 mins incubation following rescue of F508del-CFTR by low temperature for 24 hrs by HS-YFP assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CFBE41o";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3596188";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";""
"CHEMBL3597889";"";"None";"395.58";"1";"6.71";"10d";"CSc1cccc(Nc2nc(-c3sc(-c4ccccc4)nc3C)cs2)c1";"EC50";"'='";"5700.0";"nM";"5.24";"";"";"UO_0000065";"13.26";"0.28";"-1.47";"13.87";"0";"CHEMBL3598671";"Corrector activity at CFTR F508del mutant (unknown origin) expressed in human CFBE41o cells assessed as iodide influx after 24 hrs by HS-YFP assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CFBE41o";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3596188";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";""
"CHEMBL3597853";"";"None";"332.88";"1";"5.93";"4a";"CSc1cccc(Nc2nc(-c3cccc(Cl)c3)cs2)c1";"EC50";"'='";"5300.0";"nM";"5.28";"";"";"UO_0000065";"15.85";"0.34";"-0.65";"21.17";"0";"CHEMBL3598671";"Corrector activity at CFTR F508del mutant (unknown origin) expressed in human CFBE41o cells assessed as iodide influx after 24 hrs by HS-YFP assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CFBE41o";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3596188";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";""
"CHEMBL3356627";"";"None";"292.34";"0";"3.34";"8";"CCc1ccccc1NC(=O)c1c[nH]c2ccccc2c1=O";"EC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"22.91";"0.42";"3.36";"10.81";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL3356646";"";"None";"359.43";"0";"4.56";"28";"CC(C)(C)c1c[nH]c2cc(NC(=O)c3c[nH]c4ccccc4c3=O)ccc12";"EC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"22.38";"0.41";"3.49";"10.35";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL3356632";"";"None";"306.37";"0";"3.90";"13";"CC(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1";"EC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"21.87";"0.40";"2.80";"10.81";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL3597937";"";"None";"338.91";"1";"5.99";"21c";"CSc1cccc(Nc2nc(-c3cc(Cl)cs3)cs2)c1";"EC50";"'='";"15000.0";"nM";"4.82";"";"";"UO_0000065";"14.23";"0.33";"-1.17";"19.36";"0";"CHEMBL3598551";"Potentiator activity at CFTR F508del mutant (unknown origin) expressed in human CFBE41o cells assessed as increase in iodine influx measured after 30 mins incubation following rescue of F508del-CFTR by low temperature for 24 hrs by HS-YFP assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CFBE41o";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3596188";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";""
"CHEMBL461939";"";"None";"409.41";"0";"4.81";"CFTRinh-172";"O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"15.93";"0.33";"1.71";"11.32";"0";"CHEMBL1832634";"Inhibition of CFTR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828512";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL3357141";"";"None";"336.39";"0";"3.78";"45";"CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O";"EC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"25.34";"0.47";"4.74";"10.37";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL3356645";"";"None";"331.38";"0";"3.82";"27";"CCc1c[nH]c2cc(NC(=O)c3c[nH]c4ccccc4c3=O)ccc12";"EC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"21.12";"0.38";"3.18";"9.00";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL4059537";"";"None";"362.45";"0";"2.34";"14";"CC1(C)Cc2c(sc(NC(=O)Cc3ccn[nH]3)c2C(N)=O)C(C)(C)O1";"EC50";"'='";"136.0";"nM";"6.87";"";"";"UO_0000065";"18.94";"0.38";"4.53";"6.24";"0";"CHEMBL4026937";"Potentiation of CFTR F508del mutant (unknown origin) expressed in human CFBE41o cells incubated for 10 mins in presence of forskolin measured for 7 secs by YFP halide assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4024762";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";""
"CHEMBL2010601";"IVACAFTOR";"4.0";"392.50";"1";"5.08";"1; VX-770";"CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O";"EC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"15.00";"0.28";"0.81";"7.16";"0";"CHEMBL4026938";"Potentiation of CFTR G551D mutant (unknown origin) expressed in HEK293 cells incubated for 10 mins in presence of forskolin measured for 2 mins by YFP halide assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"P13569";"G551D";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4024762";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";""
