"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL486671";"";"";"Small molecule";"";"413.40";"1";"1";"4.23";"81.00";"6";"3";"0";"2";"N";"0.39";"8.76";"None";"4.59";"4.57";"2";"MOL";"-1";"27";"5";"3";"0";"413.0003";"-1.42";"NEUTRAL";"C17H10F3NO4S2";"O=C1/C(=C/c2ccc(O)c(O)c2O)SC(=S)N1c1cccc(C(F)(F)F)c1";"ZHXNSAUKDCLEDQ-SDQBBNPISA-N"
"CHEMBL488823";"";"";"Small molecule";"";"423.44";"9";"28";"4.81";"57.61";"4";"1";"0";"4";"N";"0.57";"4.07";"None";"5.22";"2.10";"2";"MOL";"-1";"28";"4";"1";"0";"423.0211";"-1.76";"ACID";"C19H12F3NO3S2";"O=C(O)c1ccc(/C=C2\SC(=S)N(Cc3cccc(C(F)(F)F)c3)C2=O)cc1";"DJTINRHPPGAPLD-DHDCSXOGSA-N"
"CHEMBL461941";"";"";"Small molecule";"";"439.44";"1";"1";"4.57";"66.84";"5";"1";"0";"5";"N";"0.54";"3.41";"None";"4.82";"1.42";"2";"MOL";"-1";"29";"5";"1";"0";"439.0160";"-1.86";"ACID";"C19H12F3NO4S2";"O=C(O)COc1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1";"XJFRAEDSGSGUPC-NVNXTCNLSA-N"
"CHEMBL450222";"";"";"Small molecule";"";"355.44";"1";"1";"4.10";"57.61";"4";"1";"0";"3";"N";"0.66";"4.07";"None";"4.79";"1.67";"2";"MOL";"-1";"24";"4";"1";"0";"355.0337";"-1.73";"ACID";"C18H13NO3S2";"Cc1cccc(N2C(=O)/C(=C/c3ccc(C(=O)O)cc3)SC2=S)c1";"OLZKVXPTDFNASH-GDNBJRDFSA-N"
"CHEMBL461575";"";"";"Small molecule";"";"369.47";"1";"1";"4.41";"57.61";"4";"1";"0";"3";"N";"0.64";"4.07";"None";"5.31";"2.19";"2";"MOL";"-1";"25";"4";"1";"0";"369.0493";"-1.46";"ACID";"C19H15NO3S2";"Cc1cccc(N2C(=O)/C(=C/c3ccc(C(=O)O)cc3)SC2=S)c1C";"BRKYTJFUNROSCM-YBEGLDIGSA-N"
"CHEMBL488016";"";"";"Small molecule";"";"425.41";"1";"1";"4.52";"77.84";"5";"2";"0";"3";"N";"0.56";"2.71";"None";"5.50";"2.00";"2";"MOL";"-1";"28";"5";"2";"0";"425.0003";"-1.38";"ACID";"C18H10F3NO4S2";"O=C(O)c1cc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)ccc1O";"DMIWVWYKHHMBIN-ZSOIEALJSA-N"
"CHEMBL461381";"";"";"Small molecule";"";"427.40";"1";"1";"4.95";"57.61";"4";"1";"0";"3";"N";"0.43";"4.01";"None";"5.30";"2.14";"2";"MOL";"-1";"28";"4";"1";"0";"426.9960";"-1.83";"ACID";"C18H9F4NO3S2";"O=C(O)c1cccc(/C=C2\SC(=S)N(c3ccc(F)c(C(F)(F)F)c3)C2=O)c1";"IYAXZKPPFWYVQK-AUWJEWJLSA-N"
"CHEMBL512017";"";"";"Small molecule";"";"409.41";"1";"1";"4.81";"57.61";"4";"1";"0";"3";"N";"0.58";"4.07";"None";"5.16";"2.04";"2";"MOL";"-1";"27";"4";"1";"0";"409.0054";"-1.61";"ACID";"C18H10F3NO3S2";"O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)cc1";"GMEHQRRCSDAMMH-ZROIWOOFSA-N"
"CHEMBL460075";"";"";"Small molecule";"";"427.40";"1";"1";"4.95";"57.61";"4";"1";"0";"3";"N";"0.43";"4.07";"None";"5.30";"2.18";"2";"MOL";"-1";"28";"4";"1";"0";"426.9960";"-1.87";"ACID";"C18H9F4NO3S2";"O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(F)c(C(F)(F)F)c3)C2=O)cc1";"HRIZDHBBDQTZEK-AUWJEWJLSA-N"
"CHEMBL451804";"";"";"Small molecule";"";"456.49";"1";"1";"4.58";"69.64";"5";"2";"0";"4";"N";"0.65";"-2.15";"None";"5.35";"-0.82";"2";"MOL";"-1";"29";"5";"2";"0";"455.9884";"-1.34";"ACID";"C18H11F3N2O3S3";"O=C(O)c1ccc(NC(=S)C2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1";"GXIFTKGLTYOAQQ-UHFFFAOYSA-N"
"CHEMBL455385";"";"";"Small molecule";"";"333.27";"1";"1";"3.65";"68.01";"4";"1";"0";"3";"N";"0.79";"4.52";"None";"4.25";"1.45";"3";"MOL";"-1";"24";"5";"1";"0";"333.0725";"-1.64";"ACID";"C16H10F3N3O2";"O=C(O)c1ccc(-n2cc(-c3ccc(C(F)(F)F)cc3)nn2)cc1";"MWSMEFTTXKMGKI-UHFFFAOYSA-N"
"CHEMBL486672";"";"";"Small molecule";"";"467.45";"1";"1";"4.36";"74.68";"5";"1";"0";"3";"N";"0.43";"-2.11";"None";"2.75";"2.30";"2";"MOL";"-1";"28";"5";"1";"0";"444.9724";"-1.90";"ACID";"C17H9F3NNaO4S3";"O=C1/C(=C/c2ccc(S(=O)(=O)[O-])cc2)SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+]";"SBBWDUVQYCWSNM-ZXDBEMHSSA-M"
"CHEMBL472191";"";"";"Small molecule";"";"413.40";"1";"1";"4.23";"81.00";"6";"3";"0";"2";"N";"0.39";"8.76";"None";"4.59";"4.57";"2";"MOL";"-1";"27";"5";"3";"0";"413.0003";"-1.39";"NEUTRAL";"C17H10F3NO4S2";"O=C1/C(=C/c2cc(O)c(O)c(O)c2)SC(=S)N1c1cccc(C(F)(F)F)c1";"OOZDRQVHSLZQPK-MLPAPPSSSA-N"
"CHEMBL486836";"";"";"Small molecule";"";"437.46";"1";"1";"5.29";"46.61";"5";"0";"1";"4";"N";"0.37";"None";"None";"5.86";"5.86";"2";"MOL";"-1";"29";"4";"0";"1";"437.0367";"-1.82";"NEUTRAL";"C20H14F3NO3S2";"CCOC(=O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1";"XVFJRUXOIOTTGA-YBEGLDIGSA-N"
"CHEMBL461375";"";"";"Small molecule";"";"425.41";"1";"1";"4.52";"77.84";"5";"2";"0";"3";"N";"0.56";"2.71";"None";"5.50";"2.00";"2";"MOL";"-1";"28";"5";"2";"0";"425.0003";"-1.55";"ACID";"C18H10F3NO4S2";"O=C(O)c1cc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)ccc1O";"NAHHGABJJJVZNP-AUWJEWJLSA-N"
"CHEMBL519082";"";"";"Small molecule";"";"397.40";"1";"1";"4.52";"60.77";"5";"2";"0";"2";"N";"0.44";"9.15";"None";"4.89";"4.88";"2";"MOL";"-1";"26";"4";"2";"0";"397.0054";"-1.49";"NEUTRAL";"C17H10F3NO3S2";"O=C1/C(=C/c2ccc(O)c(O)c2)SC(=S)N1c1cccc(C(F)(F)F)c1";"JOFYGVGLDWMWPK-AUWJEWJLSA-N"
"CHEMBL461576";"";"";"Small molecule";"";"555.19";"1";"1";"6.05";"60.77";"5";"2";"2";"2";"N";"0.35";"6.67";"None";"6.43";"5.60";"2";"MOL";"-1";"28";"4";"2";"2";"552.8264";"-1.64";"NEUTRAL";"C17H8Br2F3NO3S2";"O=C1/C(=C/c2cc(Br)c(O)c(Br)c2O)SC(=S)N1c1cccc(C(F)(F)F)c1";"HFUNWZRIPRAKGO-WZUFQYTHSA-N"
"CHEMBL527432";"";"";"Small molecule";"";"417.37";"1";"1";"4.13";"91.84";"6";"1";"0";"3";"N";"0.64";"5.92";"None";"4.43";"3.20";"3";"MOL";"-1";"29";"7";"1";"0";"417.0507";"-2.09";"ACID";"C18H10F3N5O2S";"O=C1S/C(=C\c2ccc(-c3nn[nH]n3)cc2)C(=O)N1c1cccc(C(F)(F)F)c1";"VQXATJPUTOVSBQ-ZSOIEALJSA-N"
"CHEMBL520739";"";"";"Small molecule";"";"366.39";"1";"1";"4.51";"33.20";"4";"0";"0";"2";"N";"0.58";"None";"4.83";"4.28";"4.28";"2";"MOL";"-1";"24";"3";"0";"0";"366.0108";"-2.24";"NEUTRAL";"C16H9F3N2OS2";"O=C1/C(=C/c2ccncc2)SC(=S)N1c1cccc(C(F)(F)F)c1";"HWNPLTRMJFWBFM-JYRVWZFOSA-N"
"CHEMBL461939";"";"";"Small molecule";"";"409.41";"7";"18";"4.81";"57.61";"4";"1";"0";"3";"N";"0.58";"4.07";"None";"5.16";"2.04";"2";"MOL";"-1";"27";"4";"1";"0";"409.0054";"-1.79";"ACID";"C18H10F3NO3S2";"O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1";"JIMHYXZZCWVCMI-ZSOIEALJSA-N"
